iter	Passed	Remaining
0	240	239853
1	241	120327
2	241	80422
3	242	60460
4	243	48486
5	244	40499
6	245	34795
7	246	30514
8	246	27186
9	247	24523
10	248	22354
11	249	20543
12	250	19007
13	251	17687
14	251	16545
15	252	15549
16	253	14664
17	254	13892
18	255	13191
19	256	12561
20	257	11990
21	258	11469
22	258	10993
23	259	10555
24	260	10158
25	261	9792
26	262	9449
27	263	9133
28	263	8837
29	264	8560
30	265	8302
31	266	8061
32	267	7836
33	268	7625
34	269	7423
35	270	7231
36	270	7051
37	271	6879
38	272	6716
39	273	6560
40	274	6413
41	275	6274
42	275	6141
43	276	6013
44	277	5892
45	278	5777
46	279	5664
47	280	5557
48	281	5454
49	281	5357
50	282	5263
51	283	5172
52	284	5085
53	285	5000
54	286	4918
55	287	4839
56	288	4764
57	288	4691
58	289	4620
59	290	4551
60	291	4487
61	292	4422
62	293	4361
63	294	4302
64	295	4245
65	295	4188
66	296	4132
67	297	4074
68	298	4022
69	299	3973
70	299	3924
71	300	3875
72	301	3829
73	302	3783
74	303	3740
75	304	3696
76	304	3654
77	305	3613
78	306	3573
79	307	3534
80	308	3497
81	309	3462
82	310	3427
83	311	3392
84	311	3354
85	312	3320
86	313	3285
87	313	3253
88	314	3222
89	315	3191
90	316	3162
91	317	3133
92	318	3105
93	319	3078
94	320	3050
95	321	3023
96	321	2996
97	322	2969
98	323	2944
99	324	2919
100	325	2895
101	325	2868
102	326	2844
103	327	2823
104	328	2800
105	329	2778
106	330	2757
107	331	2735
108	332	2715
109	332	2694
110	333	2674
111	334	2654
112	335	2635
113	336	2616
114	337	2598
115	338	2577
116	339	2559
117	340	2542
118	340	2523
119	341	2505
120	342	2489
121	343	2472
122	344	2453
123	344	2437
124	345	2420
125	346	2405
126	347	2388
127	348	2370
128	348	2356
129	349	2341
130	350	2326
131	351	2312
132	352	2298
133	353	2284
134	354	2270
135	355	2257
136	356	2244
137	357	2230
138	358	2217
139	359	2205
140	359	2193
141	360	2180
142	361	2168
143	362	2155
144	363	2144
145	364	2133
146	365	2122
147	366	2110
148	367	2097
149	368	2086
150	369	2075
151	369	2063
152	370	2053
153	371	2042
154	372	2031
155	373	2020
156	374	2009
157	375	1998
158	375	1988
159	376	1978
160	377	1968
161	378	1959
162	379	1950
163	380	1941
164	381	1932
165	382	1923
166	383	1914
167	384	1905
168	385	1896
169	386	1887
170	387	1879
171	388	1870
172	389	1861
173	390	1853
174	391	1845
175	392	1837
176	393	1829
177	394	1821
178	395	1813
179	396	1805
180	396	1795
181	397	1787
182	398	1779
183	399	1772
184	400	1765
185	401	1757
186	402	1751
187	403	1743
188	404	1736
189	405	1730
190	406	1723
191	407	1716
192	408	1708
193	409	1701
194	410	1695
195	411	1688
196	412	1681
197	413	1675
198	414	1669
199	415	1663
200	417	1659
201	423	1674
202	430	1689
203	431	1682
204	432	1676
205	433	1670
206	434	1663
207	435	1657
208	436	1651
209	437	1644
210	438	1638
211	439	1632
212	440	1626
213	441	1620
214	442	1614
215	443	1608
216	444	1602
217	444	1596
218	445	1590
219	446	1583
220	447	1577
221	448	1571
222	449	1566
223	450	1560
224	451	1554
225	452	1548
226	453	1542
227	453	1536
228	454	1530
229	455	1525
230	456	1519
231	457	1514
232	458	1509
233	459	1503
234	460	1498
235	461	1493
236	462	1488
237	463	1482
238	464	1477
239	465	1472
240	466	1467
241	466	1462
242	467	1457
243	468	1452
244	469	1447
245	470	1442
246	471	1438
247	472	1433
248	473	1429
249	474	1424
250	475	1419
251	476	1414
252	477	1409
253	478	1404
254	479	1400
255	480	1395
256	481	1390
257	482	1386
258	482	1381
259	483	1377
260	484	1372
261	485	1368
262	486	1363
263	487	1360
264	488	1355
265	489	1351
266	490	1347
267	491	1342
268	492	1338
269	493	1334
270	494	1330
271	495	1325
272	496	1321
273	497	1317
274	498	1313
275	499	1309
276	500	1305
277	501	1302
278	502	1298
279	503	1294
280	504	1290
281	505	1286
282	506	1282
283	507	1278
284	508	1274
285	509	1270
286	510	1267
287	511	1263
288	512	1259
289	512	1255
290	513	1252
291	515	1249
292	516	1246
293	517	1242
294	518	1238
295	519	1235
296	520	1232
297	521	1228
298	522	1225
299	523	1222
300	524	1218
301	525	1215
302	526	1211
303	527	1208
304	528	1204
305	529	1201
306	530	1197
307	531	1194
308	532	1191
309	533	1188
310	534	1185
311	536	1181
312	537	1179
313	538	1175
314	539	1172
315	540	1169
316	541	1166
317	542	1162
318	543	1160
319	544	1157
320	545	1154
321	546	1150
322	547	1147
323	548	1144
324	549	1141
325	550	1138
326	551	1135
327	552	1132
328	553	1129
329	554	1126
330	555	1123
331	556	1120
332	557	1117
333	558	1114
334	559	1110
335	560	1107
336	561	1104
337	562	1102
338	563	1099
339	564	1096
340	565	1093
341	566	1090
342	567	1087
343	568	1085
344	570	1082
345	571	1079
346	572	1076
347	573	1074
348	574	1071
349	575	1068
350	576	1065
351	577	1063
352	578	1060
353	579	1057
354	580	1055
355	581	1052
356	582	1049
357	583	1046
358	584	1044
359	585	1041
360	586	1038
361	587	1035
362	588	1032
363	589	1029
364	590	1027
365	591	1025
366	592	1022
367	593	1019
368	594	1016
369	595	1014
370	596	1011
371	597	1009
372	598	1006
373	599	1004
374	600	1001
375	601	998
376	602	996
377	603	993
378	604	991
379	606	988
380	607	986
381	608	983
382	609	981
383	610	978
384	611	976
385	612	974
386	613	972
387	614	969
388	615	967
389	616	964
390	617	962
391	618	959
392	619	957
393	620	954
394	621	952
395	622	949
396	623	947
397	624	944
398	625	942
399	626	940
400	627	937
401	628	935
402	630	933
403	631	931
404	632	928
405	633	926
406	634	923
407	635	921
408	636	919
409	637	916
410	638	914
411	639	912
412	640	910
413	641	907
414	642	905
415	643	903
416	644	901
417	645	898
418	646	896
419	647	894
420	648	891
421	649	889
422	650	887
423	651	885
424	652	883
425	653	880
426	654	878
427	655	876
428	656	874
429	657	872
430	658	869
431	659	867
432	660	865
433	661	863
434	662	860
435	663	858
436	664	856
437	665	853
438	666	851
439	667	849
440	668	847
441	669	844
442	670	842
443	671	840
444	672	838
445	673	836
446	673	833
447	674	831
448	675	829
449	676	827
450	677	825
451	678	822
452	679	820
453	680	818
454	681	816
455	682	813
456	683	811
457	683	809
458	684	807
459	685	804
460	686	802
461	687	800
462	688	798
463	689	795
464	690	793
465	690	791
466	691	789
467	692	787
468	693	785
469	694	783
470	695	780
471	696	778
472	697	776
473	697	774
474	698	772
475	699	770
476	700	768
477	701	766
478	702	764
479	704	762
480	705	760
481	706	758
482	707	757
483	708	755
484	709	753
485	710	751
486	711	749
487	713	748
488	714	746
489	715	744
490	716	742
491	717	740
492	718	738
493	719	737
494	720	735
495	722	733
496	723	732
497	724	730
498	725	728
499	726	726
500	727	724
501	728	723
502	730	721
503	731	719
504	732	717
505	733	716
506	734	714
507	736	712
508	737	711
509	738	709
510	739	708
511	741	706
512	742	704
513	743	703
514	745	701
515	746	700
516	747	698
517	749	697
518	750	695
519	752	694
520	753	692
521	754	691
522	755	689
523	757	687
524	758	686
525	759	684
526	760	682
527	762	681
528	767	683
529	771	684
530	772	682
531	774	681
532	781	684
533	782	683
534	784	681
535	785	679
536	786	678
537	787	676
538	789	675
539	790	673
540	791	671
541	793	670
542	794	668
543	795	666
544	796	665
545	797	663
546	798	661
547	800	659
548	801	658
549	802	656
550	804	655
551	805	653
552	806	652
553	808	650
554	809	648
555	810	647
556	811	645
557	812	643
558	814	642
559	815	640
560	816	639
561	818	637
562	819	635
563	820	634
564	821	632
565	822	630
566	823	629
567	825	627
568	826	625
569	827	624
570	828	622
571	829	620
572	830	619
573	831	617
574	833	615
575	834	613
576	835	612
577	836	610
578	837	609
579	838	607
580	840	605
581	841	604
582	842	602
583	843	600
584	844	599
585	846	597
586	847	596
587	848	594
588	850	593
589	851	591
590	852	589
591	853	588
592	854	586
593	856	585
594	857	583
595	858	581
596	859	580
597	860	578
598	861	576
599	862	575
600	864	573
601	864	571
602	865	570
603	866	568
604	867	566
605	868	564
606	869	562
607	870	561
608	871	559
609	871	557
610	873	555
611	874	554
612	874	552
613	875	550
614	876	548
615	877	547
616	878	545
617	879	543
618	880	542
619	881	540
620	882	538
621	883	536
622	884	535
623	885	533
624	886	531
625	887	529
626	887	528
627	888	526
628	889	524
629	890	522
630	891	521
631	892	519
632	893	518
633	894	516
634	895	514
635	897	513
636	898	511
637	899	510
638	900	508
639	901	507
640	903	505
641	904	504
642	905	502
643	906	501
644	907	499
645	908	498
646	910	496
647	911	494
648	912	493
649	913	491
650	914	490
651	915	488
652	916	487
653	918	485
654	919	484
655	920	482
656	921	481
657	922	479
658	923	477
659	924	476
660	925	474
661	927	473
662	928	471
663	929	470
664	930	468
665	931	467
666	932	465
667	933	464
668	935	462
669	936	461
670	937	459
671	938	458
672	939	456
673	940	455
674	942	453
675	943	452
676	944	450
677	945	449
678	946	447
679	947	445
680	948	444
681	949	442
682	950	441
683	951	439
684	952	437
685	953	436
686	954	434
687	955	433
688	955	431
689	956	429
690	957	428
691	958	426
692	959	425
693	960	423
694	961	421
695	962	420
696	963	418
697	964	417
698	964	415
699	966	414
700	967	412
701	968	411
702	969	409
703	970	408
704	971	406
705	972	404
706	973	403
707	974	401
708	975	400
709	976	398
710	977	397
711	978	395
712	979	394
713	980	392
714	981	391
715	982	389
716	983	388
717	983	386
718	984	384
719	985	383
720	986	381
721	987	380
722	988	378
723	989	377
724	990	375
725	991	374
726	992	372
727	993	371
728	994	369
729	995	368
730	996	366
731	997	365
732	998	363
733	998	362
734	999	360
735	1000	358
736	1001	357
737	1002	356
738	1004	354
739	1005	353
740	1006	351
741	1007	350
742	1008	348
743	1009	347
744	1011	346
745	1012	344
746	1013	343
747	1014	341
748	1015	340
749	1016	338
750	1017	337
751	1018	336
752	1019	334
753	1021	333
754	1022	331
755	1023	330
756	1024	328
757	1025	327
758	1027	326
759	1028	324
760	1029	323
761	1030	321
762	1031	320
763	1032	318
764	1033	317
765	1034	316
766	1035	314
767	1037	313
768	1038	311
769	1039	310
770	1040	308
771	1041	307
772	1041	305
773	1042	304
774	1043	302
775	1044	301
776	1045	299
777	1046	298
778	1047	297
779	1048	295
780	1049	294
781	1050	292
782	1051	291
783	1052	289
784	1053	288
785	1054	287
786	1055	285
787	1056	284
788	1056	282
789	1058	281
790	1059	279
791	1060	278
792	1060	276
793	1061	275
794	1062	274
795	1063	272
796	1064	271
797	1065	269
798	1066	268
799	1067	266
800	1068	265
801	1068	263
802	1069	262
803	1070	261
804	1071	259
805	1073	258
806	1074	256
807	1075	255
808	1076	254
809	1077	252
810	1079	251
811	1080	250
812	1081	248
813	1081	247
814	1082	245
815	1083	244
816	1084	242
817	1085	241
818	1086	240
819	1087	238
820	1088	237
821	1089	235
822	1090	234
823	1090	233
824	1091	231
825	1092	230
826	1093	228
827	1094	227
828	1095	226
829	1096	224
830	1097	223
831	1098	221
832	1099	220
833	1100	219
834	1101	217
835	1102	216
836	1103	214
837	1104	213
838	1105	212
839	1106	210
840	1107	209
841	1108	207
842	1109	206
843	1110	205
844	1111	203
845	1112	202
846	1113	201
847	1114	199
848	1115	198
849	1116	196
850	1117	195
851	1118	194
852	1118	192
853	1119	191
854	1120	190
855	1121	188
856	1122	187
857	1124	186
858	1131	185
859	1135	184
860	1136	183
861	1137	182
862	1138	180
863	1139	179
864	1140	178
865	1141	176
866	1142	175
867	1144	173
868	1145	172
869	1146	171
870	1147	169
871	1148	168
872	1150	167
873	1151	165
874	1152	164
875	1153	163
876	1155	162
877	1156	160
878	1157	159
879	1158	158
880	1159	156
881	1161	155
882	1162	154
883	1163	152
884	1164	151
885	1165	149
886	1166	148
887	1167	147
888	1168	145
889	1169	144
890	1170	143
891	1171	141
892	1172	140
893	1173	139
894	1174	137
895	1175	136
896	1176	135
897	1177	133
898	1178	132
899	1179	131
900	1180	129
901	1181	128
902	1182	127
903	1183	125
904	1184	124
905	1185	123
906	1186	121
907	1187	120
908	1188	119
909	1189	117
910	1191	116
911	1192	115
912	1193	113
913	1194	112
914	1195	111
915	1195	109
916	1196	108
917	1197	106
918	1198	105
919	1199	104
920	1200	102
921	1201	101
922	1202	100
923	1203	98
924	1204	97
925	1205	96
926	1206	95
927	1207	93
928	1208	92
929	1209	91
930	1210	89
931	1211	88
932	1212	87
933	1213	85
934	1214	84
935	1215	83
936	1216	81
937	1216	80
938	1218	79
939	1219	77
940	1220	76
941	1221	75
942	1222	73
943	1223	72
944	1224	71
945	1225	69
946	1226	68
947	1227	67
948	1228	66
949	1229	64
950	1230	63
951	1232	62
952	1233	60
953	1234	59
954	1235	58
955	1236	56
956	1237	55
957	1238	54
958	1239	53
959	1241	51
960	1242	50
961	1243	49
962	1244	47
963	1245	46
964	1246	45
965	1247	43
966	1249	42
967	1250	41
968	1251	40
969	1252	38
970	1253	37
971	1254	36
972	1255	34
973	1256	33
974	1257	32
975	1258	30
976	1259	29
977	1260	28
978	1262	27
979	1263	25
980	1264	24
981	1265	23
982	1266	21
