iter	Passed	Remaining
0	219	219268
1	221	110287
2	222	73788
3	222	55517
4	223	44546
5	224	37242
6	225	32041
7	227	28204
8	228	25162
9	229	22712
10	230	20714
11	231	19051
12	232	17641
13	233	16469
14	234	15425
15	235	14502
16	236	13689
17	237	12967
18	238	12316
19	240	11762
20	241	11246
21	242	10766
22	243	10327
23	244	9924
24	245	9555
25	246	9217
26	247	8912
27	248	8615
28	249	8339
29	249	8081
30	250	7839
31	251	7611
32	253	7441
33	254	7244
34	255	7055
35	256	6880
36	257	6710
37	258	6550
38	260	6422
39	261	6280
40	262	6141
41	263	6009
42	264	5885
43	265	5769
44	267	5666
45	268	5559
46	269	5455
47	270	5356
48	271	5259
49	271	5167
50	273	5094
51	274	5011
52	275	4927
53	276	4847
54	277	4768
55	278	4694
56	279	4631
57	280	4563
58	281	4495
59	282	4429
60	283	4365
61	284	4304
62	285	4245
63	286	4192
64	287	4139
65	288	4085
66	289	4031
67	290	3980
68	291	3931
69	292	3884
70	294	3849
71	295	3805
72	296	3761
73	297	3718
74	298	3676
75	299	3636
76	301	3614
77	303	3590
78	304	3554
79	305	3516
80	307	3483
81	309	3464
82	310	3428
83	311	3397
84	313	3370
85	316	3363
86	317	3334
87	319	3310
88	320	3284
89	323	3267
90	324	3242
91	326	3218
92	328	3205
93	336	3243
94	344	3282
95	347	3269
96	349	3251
97	352	3239
98	356	3248
99	360	3242
100	363	3238
101	365	3213
102	395	3440
103	396	3414
104	407	3472
105	408	3445
106	428	3572
107	431	3567
108	433	3545
109	436	3528
110	448	3593
111	470	3730
112	472	3705
113	483	3756
114	484	3727
115	485	3699
116	486	3668
117	487	3640
118	487	3611
119	488	3583
120	489	3556
121	490	3528
122	491	3501
123	491	3475
124	493	3454
125	494	3430
126	495	3404
127	496	3380
128	497	3357
129	498	3333
130	499	3310
131	500	3289
132	501	3266
133	501	3243
134	502	3221
135	503	3199
136	504	3177
137	505	3155
138	506	3137
139	507	3118
140	508	3097
141	508	3075
142	509	3056
143	510	3036
